query,complexity,target
"OS detection with version scan on 192.168.1.0/24",easy,"nmap -O -sV 192.168.1.0/24"
"Probe MySQL service on 192.168.1.1",easy,"nmap -p 3306 192.168.1.1"
"Check if port 443 is open on 172.16.0.1",easy,"nmap -p 443 172.16.0.1"
"Host discovery on 172.16.0.0/24",easy,"nmap -sn 172.16.0.0/24"
"Perform OS detection on 172.16.0.0/24",easy,"nmap -O 172.16.0.0/24"
"Identify OS on 10.10.10.0/24",easy,"nmap -O 10.10.10.0/24"
"Ping scan on 172.16.0.0/24",easy,"nmap -sn 172.16.0.0/24"
"Full scan with OS detection on 172.16.0.1",easy,"nmap -p- -O 172.16.0.1"
"Scan port 161 on 192.168.1.0/24",easy,"nmap -p 161 192.168.1.0/24"
"Scan SMTP with OS detection on 10.0.0.0/24",easy,"nmap -p 25 -O 10.0.0.0/24"
"Check FTP and detect OS on 172.16.0.1",easy,"nmap -p 21 -O 172.16.0.1"
"Identify service versions on 172.16.0.0/24",easy,"nmap -sV 172.16.0.0/24"
"Detect service versions on 10.0.0.1",easy,"nmap -sV 10.0.0.1"
"Check FTP and detect OS on 192.168.1.1",easy,"nmap -p 21 -O 192.168.1.1"
"Scan Telnet port on 172.16.0.0/24",easy,"nmap -p 23 172.16.0.0/24"
"Quick ping scan on 10.10.10.0/24",easy,"nmap -sn 10.10.10.0/24"
"Discover active hosts on 172.16.0.0/24",easy,"nmap -sn 172.16.0.0/24"
"Check which hosts are up on 172.16.0.0/24",easy,"nmap -sn 172.16.0.0/24"
"Check all 65535 ports on 172.16.0.0/24",easy,"nmap -p- 172.16.0.0/24"
"Full port scan on 10.10.10.0/24",easy,"nmap -p- 10.10.10.0/24"
"Check if port 3389 is open on 192.168.1.1",easy,"nmap -p 3389 192.168.1.1"
"Quick ping scan on 192.168.1.1",easy,"nmap -sn 192.168.1.1"
"Full port scan on 10.0.0.0/24",easy,"nmap -p- 10.0.0.0/24"
"Scan all ports with service detection on 10.0.0.0/24",easy,"nmap -p- -sV 10.0.0.0/24"
"Full scan with OS detection on 172.16.0.0/24",easy,"nmap -p- -O 172.16.0.0/24"
"Scan port 80 on 10.10.10.0/24",easy,"nmap -p 80 10.10.10.0/24"
"Detect service versions on 192.168.1.0/24",easy,"nmap -sV 192.168.1.0/24"
"Probe HTTP service on 172.16.0.1",easy,"nmap -p 80 172.16.0.1"
"Version scan on 172.16.0.0/24",easy,"nmap -sV 172.16.0.0/24"
"Quick ping scan on 172.16.0.1",easy,"nmap -sn 172.16.0.1"
"Scan port 80 on 10.0.0.0/24",easy,"nmap -p 80 10.0.0.0/24"
"Scan all ports Run default,vuln scripts on 192.168.0.0/16",medium,"nmap -p- --script default,vuln 192.168.0.0/16"
"Scan ports for HTTP, SNMP using TCP connect scan Perform OS detection using IPv6 on 2001:db8::3256",medium,"nmap -p 80,161 -sT -O -6 2001:db8::3256"
"Do a ping scan and traceroute on 10.0.0.0/28",medium,"nmap -sn --traceroute 10.0.0.0/28"
"Scan ports for SSH, SNMP using SYN scan and version detection on 192.168.100.0/28",medium,"nmap -p 22,161 -sS -sV 192.168.100.0/28"
"Scan ports for SSH, FTP Perform OS detection Run vuln scripts and traceroute on 192.168.0.0/28",medium,"nmap -p 21,22 -O --script vuln --traceroute 192.168.0.0/28"
"Scan all ports using TCP connect scan and version detection on 192.168.0.0/28",medium,"nmap -p- -sT -sV 192.168.0.0/28"
"Scan all ports using SYN scan and traceroute on 172.16.0.246",medium,"nmap -p- -sS --traceroute 172.16.0.246"
"Do a ping scan on 192.168.100.15",medium,"nmap -sn 192.168.100.15"
"Scan ports for HTTP, SMTP and version detection with faster timing on 192.168.1.148",medium,"nmap -p 25,80 -sV -T5 192.168.1.148"
"Scan ports for HTTP, RDP Run default scripts with faster timing on 10.0.0.0/28",medium,"nmap -p 3389,80 --script default -T5 10.0.0.0/28"
"Scan ports for HTTP, FTP, SMTP and version detection Run malware scripts with faster timing and traceroute on 192.168.1.0/28",medium,"nmap -p 21,25,80 -sV --script malware -T5 --traceroute 192.168.1.0/28"
"Scan ports for HTTP, HTTPS, MySQL, SNMP using UDP scan and version detection Run default,vuln scripts with faster timing on 192.168.1.0/16",medium,"nmap -p 3306,161,443,80 -sU -sV --script default,vuln -T5 192.168.1.0/16"
"Scan ports for HTTPS, RDP, Telnet Perform OS detection on 192.168.1.0/28",medium,"nmap -p 3389,443,23 -O 192.168.1.0/28"
"Reverse DNS scan on 192.168.1.0/24",medium,"nmap -R 192.168.1.0/24"
"No DNS resolution scan on 192.168.0.1",medium,"nmap -n 192.168.0.1"
"List targets only on 192.168.1.0/24",medium,"nmap -sL 192.168.1.0/24"
"Scan without ping on 10.0.0.5",medium,"nmap -Pn 10.0.0.5"
"Scan IP range 192.168.1.1-10",medium,"nmap 192.168.1.1-10"
"Scan specific ports 22,80,443 on 192.168.1.5",medium,"nmap -p 22,80,443 192.168.1.5"
"Fast scan on 192.168.0.1",medium,"nmap -F 192.168.0.1"
"Scan domain example.com",medium,"nmap example.com"
"Scan top 100 ports on example.com",medium,"nmap --top-ports 100 example.com"
"Scan IPv6 host",medium,"nmap -6 2001:db8::1"
"Scan IPs from 10.0.0.1 to 10.0.0.20",medium,"nmap 10.0.0.1-20"
"Scan all ports on 192.168.1.1",medium,"nmap -p- 192.168.1.1"
"Show interfaces",medium,"nmap -iflist"
"Ping scan with no DNS on 192.168.1.0/24",medium,"nmap -sn -n 192.168.1.0/24"
"TCP SYN scan on 192.168.1.1",medium,"nmap -sS 192.168.1.1"
"UDP scan on 192.168.1.1",medium,"nmap -sU 192.168.1.1"
"Service version detection on 192.168.1.2",medium,"nmap -sV 192.168.1.2"
"Aggressive scan on 192.168.1.3",medium,"nmap -A 192.168.1.3"
"Scan with timing option T4 on 192.168.1.4",medium,"nmap -T4 192.168.1.4"
"Scan with max 2 retries on 192.168.1.5",medium,"nmap --max-retries 2 192.168.1.5"
"Scan localhost",medium,"nmap 127.0.0.1"
"Ping scan on 10.0.0.0/24",medium,"nmap -sn 10.0.0.0/24"
"Traceroute to google.com",medium,"nmap --traceroute google.com"
"Verbose scan on 192.168.1.1",medium,"nmap -v 192.168.1.1"
"Default script scan on 192.168.1.1",medium,"nmap -sC 192.168.1.1"
"No DNS scan on 8.8.8.8",medium,"nmap -n 8.8.8.8"
"Fragmented scan of 192.168.100.0/24 to bypass firewall",hard,"nmap -f 192.168.100.0/24"
"Low-profile scan on 192.168.1.0/24 evading IDS",hard,"nmap -sS -T1 192.168.1.0/24"
"Evade firewall on 192.168.1.0/24 using fragmentation",hard,"nmap -f 192.168.1.0/24"
"Firewall bypass scan on 172.16.0.0/24 with spoofing",hard,"nmap -sS --spoof-mac 0 -D RND:10 172.16.0.0/24"
"Advanced evasion scan on 192.168.100.0/24 bypassing IDS",hard,"nmap -sS -f --data-length 25 -T0 192.168.100.0/24"
"Silent scan of 192.168.1.0/24 with minimal footprint",hard,"nmap -sS -T1 192.168.1.0/24"
"Mask identity when scanning 172.16.0.0/24",hard,"nmap --spoof-mac 0 172.16.0.0/24"
"Hide scan origin on 192.168.1.1 with decoys",hard,"nmap -D RND:10 192.168.1.1"
"Bypass IDS on 172.16.0.0/24 with fragmented packets",hard,"nmap -f 172.16.0.0/24"
"Mask real IP when probing 192.168.1.0/24",hard,"nmap -D RND:10 192.168.1.0/24"
